Period,CPI,CCI,Unemployment,GDP,Competitive,Sales,Media Transformed,spline0,spline15,spline30,spline45,spline60,spline75,spline90,spline105,spline120,spline135
2020-01-06,101.50509740433027,92.37558179964523,102.98464238384375,100.03343246830703,90.4084247664789,201.3015607128243,2.2869779393366287e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,112.84366719251639,99.07804625197993,109.21373814992555,98.00578338970615,92.16747688055406,268.0124500789203,0.8247767619941503,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-20,106.43813486405656,98.49933364054732,114.4220536026639,102.99973570532711,95.7024748084645,225.5664192228782,0.22023336500117288,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,109.71731766522184,97.53941754188159,112.81676273712566,88.27195391358043,99.79331772290293,244.89723256378045,0.45802079348314834,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,116.33735154216626,97.37898261825569,109.83445801862436,94.65415923088398,107.31294416079436,250.33967919928116,0.32599235545482047,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,119.25347377612357,101.5954153467084,108.2438900618667,95.3184359422176,97.53470527728746,251.56658958143,0.19954323487437145,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,116.66375559932148,98.28536407801951,97.74926356301134,99.03393011046794,96.51169698343656,233.3604193036702,1.3758159375965125e-06,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,120.4482118904306,107.88835537407383,91.26906988971382,97.37254842213335,98.61064145030927,286.39058828750524,0.9604457782271367,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,124.80653560756181,112.7462221107456,92.69755827531988,94.95741041310123,93.38753056883962,247.779944609428,0.004135001704232238,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,124.03629007213637,107.27748321014693,95.48902765045916,100.4264535207629,97.05627331834977,249.7937512585505,0.06978928049253562,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,123.85151035096767,102.75136160497999,95.22517520138207,102.47409367994408,100.17455663263053,294.4475038065461,0.959205923594188,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,131.97310274288876,94.81836366367095,96.2581048555191,94.44779419808583,98.4151677986377,309.93317448127584,0.8984664784242067,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,129.87350036112596,88.34099289881688,95.67005921212045,92.99481036251179,103.83272400845404,265.4936582223142,0.1088788986057112,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,132.61259585110088,83.19999360450365,95.79066874722892,83.15625196424938,102.41403436274724,267.39828479976796,0.10442565060112496,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,134.30072207503216,80.54219835849091,94.32386293509876,84.6169502333315,100.9811198194132,268.1441535397303,0.03224998181137349,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,139.4066036443178,83.86691751045282,97.04496643710588,85.0384649619196,100.13572398363222,285.44965639085314,0.03472168250485898,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,140.01583793275847,91.72088423765129,97.3700082241651,74.70098530914433,99.38915465499998,283.64226547276843,0.0034463446338966154,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,140.90050644165916,96.21229149451584,97.23738547959516,82.62911619215015,106.81626496426576,303.22761903360504,0.36552566615855536,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11,141.523288459618,105.54692716885421,94.06417325471847,85.99699487573608,110.40996411570833,313.9222208586543,0.5985994074175608,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-18,144.26304882129926,106.31039641897749,92.20030241338414,81.89979982404338,115.86381450955253,298.31901662569294,0.19213115902989641,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-25,149.99378984912673,100.70825587383383,88.35759227808168,74.55969736556673,111.41082952072149,299.4935693920126,0.004101082150655429,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,155.35354555936706,98.08792090127767,81.14387894218996,73.39609010987004,111.39980112054428,315.3055414137402,0.07751822677427958,21.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-08,161.13156640108525,98.37898966898703,82.02698766077224,82.52861367069224,114.56236016007117,339.03267256320447,0.3481747740194844,22.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-15,159.77057699344957,97.93475053118601,74.82140088272197,93.94632775105853,116.66511032711284,316.9529335400283,0.023512229369705435,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-22,163.1102241280271,102.91549753801473,71.60807161733729,97.43678910502246,114.38052863498697,324.6892935503775,0.008035732533301275,24.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-29,169.6730110014948,104.85730692953811,76.18567423298992,95.7806308639775,118.26328277086546,382.52808711567775,0.9683140216392015,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-06,170.06442155586217,105.20200715937877,71.8672116233119,100.47628065885742,119.85833360898278,358.59203383058247,0.42398104326986885,26.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-13,174.2875537513499,97.41382059884428,63.560037751246156,106.71601123888996,119.53408799678691,347.5040592540472,0.006370572014000669,27.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-20,179.23720879027329,94.47305976015446,64.92414150465056,102.54912739023158,127.3642064049688,397.46728182520803,0.8596054260805985,28.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-27,183.0724549231641,98.36782116220297,58.72064177477896,103.79090661143158,123.99978263797017,364.3766549678229,1.172898570742626e-08,29.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-03,177.05768271912387,98.02972370481564,54.47643594263291,104.27521588399635,123.89339131056882,366.95767379497914,0.3387907874423067,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-10,177.4579574627378,100.6488112210419,51.11900629599619,108.00842018403931,125.39613479494834,352.3265243200351,0.0006063685081978942,31.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-17,178.43813965382435,94.89055904427056,54.638126522791524,106.68210787073988,128.98450292714548,372.28370207128563,0.3563741525655056,32.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-24,175.6941604783155,91.3598442087898,52.28568404625913,114.68420765552825,130.72326493211196,351.67463745779867,1.2967244066793077e-06,33.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-31,185.86089819198676,96.03151205169085,53.81758687280287,113.89911556918656,123.58396593620388,370.5322178475525,4.862141967053568e-06,34.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-07,182.52483484717175,102.96935031780633,63.628667830973065,109.01456682100972,125.26187559817605,358.87054738611334,1.9788956018783355e-07,35.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-14,182.10825654950926,94.41263853633717,69.88679277715569,111.66357414476097,121.8273436426194,407.8888124626008,0.9584443068354133,36.0,21.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-21,177.53323304784976,82.29074687190393,73.99102653425238,109.49125500754269,110.69447590984909,401.82708435029775,0.9765887042686411,37.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-28,180.22592182737242,81.68477380415385,79.05209340886917,117.30732160922376,113.06057777517971,397.3878143251864,0.7595619042134643,38.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-05,176.4269245831189,76.11460909147115,69.97550705762885,111.31055466106918,110.93856286161741,359.48188362607516,0.057973414663073736,39.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-12,185.18844143807522,73.30557948407916,62.021345974233235,115.94737479678844,102.31277292744554,374.08806816326927,0.04956725170095,40.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-19,182.3761623274587,70.90373556187447,62.766444042824936,125.39279694309602,101.33112947647868,405.7173247897769,0.7642040958773969,41.0,26.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-26,176.9195384991783,76.00775151035253,59.2280657675997,120.19640318318793,109.2003390557236,393.1937584730513,0.7829493553020432,42.0,27.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02,174.92378983342624,78.12846188408608,55.40307111542854,117.9658629500122,112.86225302303478,351.6489204351553,0.11014403118854035,43.0,28.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09,170.76083416071262,75.39601977259551,51.436295109302186,111.95572095461787,115.6813071536003,341.7984305820734,2.6381529904185483e-05,44.0,29.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-16,169.80508840556564,77.447896112533,55.8643789492228,118.09778277043934,111.82701242459896,371.0759438679834,0.6707419843152986,45.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-23,173.75907032150073,78.9850565661718,65.86407694997271,124.34538388744417,113.18215188164812,374.533885524959,0.5904038829627378,46.0,31.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-30,177.43551525539428,80.03613284808273,73.98856659312538,118.86779752721716,113.53282293209193,355.48951005182516,0.05873363138929322,47.0,32.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-07,184.3083407918139,74.85602821476073,77.88673037545337,114.8766224133269,114.39670700217118,367.2873188714652,0.03780955453357838,48.0,33.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-14,190.10135409673595,76.46908480662849,78.64043939858792,112.8703084494052,117.73333342474656,425.0734958631607,0.9506872539275053,49.0,34.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-21,185.37331195327297,68.68875628266645,71.39699066373618,117.47283960383739,108.59641325302513,370.1801063364164,4.3845393173425377e-07,50.0,35.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-28,177.73166756692166,65.47994524336843,69.9798360078529,113.8475325024985,108.38945884447037,358.9735472164008,0.17910117710478374,51.0,36.0,21.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04,172.95400892726232,64.45243432864422,63.96048804309537,118.50532715076314,108.79692626106518,346.5013684363971,0.09895700629944894,52.0,37.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-11,179.8751644235386,60.88825711933582,70.7576442950498,114.17240170317719,108.45115633930939,387.2007559766902,0.6276215235960688,53.0,38.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-18,183.2112401642198,59.660478400789295,68.52640380030225,113.76899216492359,115.50961836690344,365.7189939230018,0.012807358000654466,54.0,39.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-25,178.8196281635355,54.8017245063052,72.65110843021439,123.38845325459354,115.12851607308728,368.16463191027003,0.25957465489037207,55.0,40.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,181.3756992299621,45.95917553616621,74.80354366276214,126.96926189302678,116.30947410587821,360.915418494326,0.009982110637765045,56.0,41.0,26.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-08,180.4708054890097,40.70525558906152,75.51397696470285,119.01846430013651,122.91251980669456,359.4918483628884,0.0029194631590638087,57.0,42.0,27.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-15,179.34110119840437,37.07128710508779,74.41176193285561,120.4649505367124,119.7098868487839,375.67886269332325,0.32095808729881914,58.0,43.0,28.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-22,175.0179387763381,40.08572766835365,68.07302335014461,120.34240308607754,108.30795982677301,389.1574604931418,0.7380530011763813,59.0,44.0,29.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,180.64170535731682,29.83782857401667,74.2186138882849,114.8975682373561,107.98220425864857,366.71325887618315,1.504277947645125e-05,60.0,45.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-08,185.0232570920435,24.81524880651959,70.29809405267741,117.70898874703461,106.38409997512554,375.29565764764635,0.004198733204523653,61.0,46.0,31.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-03-15,194.212093020065,26.217004508103287,71.72708589037313,113.05936443134176,106.009798640562,418.931860951712,0.6390823161322988,62.0,47.0,32.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0
2021-03-22,200.13621683821364,24.160810251113432,75.42935727048993,117.66428999810725,99.72394535028211,401.5245420544368,0.00020125255491965086,63.0,48.0,33.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0
2021-03-29,196.1581398338834,29.84438010179214,76.07232001507721,111.23339337792628,96.88957929606026,393.34281671865944,0.056662028790239814,64.0,49.0,34.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0
2021-04-05,203.1750181532015,25.11933455862912,78.54869879461522,108.3354507470083,107.24047882234053,408.7144272504052,0.029769056493505176,65.0,50.0,35.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0
2021-04-12,200.96344651742774,20.6749030204805,67.25541103600543,106.9966995427347,99.33045335463149,404.3516732885852,0.00013315314363841383,66.0,51.0,36.0,21.0,6.0,0.0,0.0,0.0,0.0,0.0
2021-04-19,197.5710795326229,19.249920258892217,63.11480171038471,106.94965006547713,106.1639769784742,392.62591004749714,8.925054869732705e-07,67.0,52.0,37.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0
2021-04-26,198.49554896630715,19.364683839503627,67.11262612098594,104.37443347284633,103.29677603566394,446.43126288177916,0.9978839317167794,68.0,53.0,38.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0
2021-05-03,197.13987694048313,22.581356365221794,66.23516675878068,100.73971262765367,105.56807570099197,398.3813540503805,0.0725219971296544,69.0,54.0,39.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0
2021-05-10,203.5096894792535,20.74326973875347,61.86391761611187,94.2535130049404,108.97289467545143,442.4313291661423,0.6419870934970631,70.0,55.0,40.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0
2021-05-17,206.00541201764793,21.497365782072137,56.39570819375328,92.82240627962895,98.95391701344568,465.7393886670084,0.9790324754278636,71.0,56.0,41.0,26.0,11.0,0.0,0.0,0.0,0.0,0.0
2021-05-24,211.50945482705768,26.63985673320893,52.66283290883745,95.81015467236996,101.0406394439385,473.8901073257727,0.9757424688645839,72.0,57.0,42.0,27.0,12.0,0.0,0.0,0.0,0.0,0.0
2021-05-31,203.29465327386532,19.554309256675765,50.98689822895467,103.23418411639663,90.18703144967068,452.638089866039,0.8562045538674706,73.0,58.0,43.0,28.0,13.0,0.0,0.0,0.0,0.0,0.0
2021-06-07,201.0508897920139,31.799840203627582,57.92899833382766,97.55904420162256,95.79848781567797,403.6418289659889,0.008487620178524955,74.0,59.0,44.0,29.0,14.0,0.0,0.0,0.0,0.0,0.0
2021-06-14,197.65374697531243,32.64245184430493,63.0111038592447,98.9247313625403,94.80279962335283,444.69408104303216,0.9753236240116666,75.0,60.0,45.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0
2021-06-21,194.4057275377206,38.80888502927493,61.27159992981339,103.3333965775008,95.03765873890748,421.5834680911332,0.6571303249690978,76.0,61.0,46.0,31.0,16.0,1.0,0.0,0.0,0.0,0.0
2021-06-28,182.00499050448917,34.18572308518091,58.412886869114196,103.05851280206117,91.02949291388113,371.78825780697065,0.16236050940458502,77.0,62.0,47.0,32.0,17.0,2.0,0.0,0.0,0.0,0.0
2021-07-05,180.30165139680014,34.8038802918107,58.89632693486147,106.49274826924143,88.75560421563912,407.2810490013018,0.9762679998600696,78.0,63.0,48.0,33.0,18.0,3.0,0.0,0.0,0.0,0.0
2021-07-12,174.04710661849307,33.37470771435666,67.25181109558078,112.89131339068891,78.98400374669731,360.6798943513044,0.29855626563871357,79.0,64.0,49.0,34.0,19.0,4.0,0.0,0.0,0.0,0.0
2021-07-19,178.09954045260181,28.539874562671045,70.68069247406649,110.51438864893234,75.84211978535978,387.6085924707579,0.696920906581733,80.0,65.0,50.0,35.0,20.0,5.0,0.0,0.0,0.0,0.0
2021-07-26,171.7704358527591,16.95933412616111,79.42815721353068,115.01649640980229,73.16394365990527,340.05239279926303,0.013103131006261067,81.0,66.0,51.0,36.0,21.0,6.0,0.0,0.0,0.0,0.0
2021-08-02,170.525300063536,19.66952294132078,80.7518682752689,116.86539710729896,69.80452499356937,344.2059991428748,0.1415761428904784,82.0,67.0,52.0,37.0,22.0,7.0,0.0,0.0,0.0,0.0
2021-08-09,158.65282796139834,12.422409027574133,76.14965965088984,115.89221622413525,62.70081018272269,356.24394924027746,0.8254616366294981,83.0,68.0,53.0,38.0,23.0,8.0,0.0,0.0,0.0,0.0
2021-08-16,166.7698117531947,11.67722805601747,67.76013987177336,115.47974547711412,67.56024301543822,347.8022908716643,0.3060612199440778,84.0,69.0,54.0,39.0,24.0,9.0,0.0,0.0,0.0,0.0
2021-08-23,168.38442711560066,9.35612169945098,75.21427045922572,114.66114889714996,72.71878315332299,339.54001471272585,3.96226619598207e-05,85.0,70.0,55.0,40.0,25.0,10.0,0.0,0.0,0.0,0.0
2021-08-30,167.68319303344234,5.3134901713929,81.88653991456889,123.37820207741639,76.58218214632441,348.7710520241972,0.21781857917106448,86.0,71.0,56.0,41.0,26.0,11.0,0.0,0.0,0.0,0.0
2021-09-06,163.21682567061077,-0.4169964234757231,85.41358756711665,123.6552045223994,80.51614402101313,325.384252156477,0.002983116401826504,87.0,72.0,57.0,42.0,27.0,12.0,0.0,0.0,0.0,0.0
2021-09-13,160.06881609174127,3.881247225859326,79.68246664665583,118.70600642904893,78.31263620561701,319.12752531850873,0.01288893512898324,88.0,73.0,58.0,43.0,28.0,13.0,0.0,0.0,0.0,0.0
2021-09-20,166.7075046692499,-3.629155519331391,82.78075768034599,121.45537713740683,87.53315300974165,368.8899484129355,0.7357028137917728,89.0,74.0,59.0,44.0,29.0,14.0,0.0,0.0,0.0,0.0
2021-09-27,169.87339298837125,0.13169391481686432,85.00642429429563,120.4421224096574,93.81576417055365,348.27008910200664,0.13555960719235413,90.0,75.0,60.0,45.0,30.0,15.0,0.0,0.0,0.0,0.0
2021-10-04,168.7957024025964,-7.746422033234452,87.01918719021657,118.13661722007423,94.58713627016168,337.56251229313335,5.3025223939508675e-05,91.0,76.0,61.0,46.0,31.0,16.0,1.0,0.0,0.0,0.0
2021-10-11,174.55465788299094,-5.749072750989043,93.97660330036132,111.31843011737756,98.444246392434,369.2410546990062,0.4616989715356132,92.0,77.0,62.0,47.0,32.0,17.0,2.0,0.0,0.0,0.0
2021-10-18,180.8787745781313,-5.126947716536122,93.0654881130234,110.24557309136914,85.78130164165918,409.9287862206765,0.973261581851036,93.0,78.0,63.0,48.0,33.0,18.0,3.0,0.0,0.0,0.0
2021-10-25,174.92996396207138,2.439017065037305,104.14449857008202,123.2147879885741,84.56880189624374,350.9925221069762,0.003314180924030538,94.0,79.0,64.0,49.0,34.0,19.0,4.0,0.0,0.0,0.0
2021-11-01,180.96922159151853,1.764127025411625,106.25308482190556,126.03877664433476,78.81875854655873,365.2617771624509,0.001183870115818153,95.0,80.0,65.0,50.0,35.0,20.0,5.0,0.0,0.0,0.0
2021-11-08,177.0534002957297,2.6811740394706334,100.55736142183824,133.87006835212946,81.9017252152116,360.7302391857116,0.10535489035302763,96.0,81.0,66.0,51.0,36.0,21.0,6.0,0.0,0.0,0.0
2021-11-15,175.1367816946791,5.027858861802741,110.06708508499447,126.17373873032766,79.77566879306428,349.2522112802372,2.582468542316473e-05,97.0,82.0,67.0,52.0,37.0,22.0,7.0,0.0,0.0,0.0
