Period,CPI,CCI,Unemployment,GDP,Competitive,Sales,Media Transformed,spline0,spline15,spline30,spline45,spline60,spline75,spline90,spline105,spline120,spline135
2020-01-06,100.95232508924668,98.22320775990495,105.71640066002338,97.8980253755681,95.71916907294211,234.20416743432955,0.664936894286053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,103.13283921349857,89.25431128756577,114.98328165239006,96.17982048795395,98.80760104751877,240.38061050922255,0.7175680987927759,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-20,108.6786135519842,86.67369870237746,120.0843477468557,92.89257700878075,104.23395082077634,265.09246813473123,0.9453562493354194,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,110.31956806929318,96.60274004821335,115.46238439300355,94.39886124599498,100.20356157896977,269.3493863024341,0.9898807151700751,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,117.61410007206266,93.77682639910427,113.60981047899722,84.48229694358588,100.0096768608729,279.5126375597738,0.8576118810285357,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,117.25800958682932,93.56400053038104,104.52043123310524,88.52510071195024,91.60763674603481,240.48332773108632,0.018369655403129348,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,117.18172811542293,102.2853114086402,94.98519575262364,90.13955668308962,99.25315214206853,237.8033676507134,0.004728876727148272,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,114.64665432141861,110.04192225932746,96.4546588646777,82.20387229209918,105.4125471085854,235.9689627100335,0.1503368463791466,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,116.58191378909,102.361283136566,95.15366055103082,82.64223470781032,111.86224364956053,232.47278736451497,1.6734538418745143e-08,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,116.39341183595698,106.76537571041149,95.8287459823863,84.95155952945525,115.59264038060547,249.02137953939481,0.34369313516138594,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,112.61687147699388,110.06760218763895,89.2453132645719,86.89901779068539,128.26177978148957,224.7352893617465,0.0002952075266358847,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,111.53159641234407,111.59376363297787,88.53411406565198,93.43398315869574,138.60801007724183,223.18637912573087,0.04153057738546568,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,112.57985084957177,111.36048538153297,93.19476143290878,95.67989517966299,146.36289114498632,225.53443742990808,0.00015778642126984985,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,102.5604808752683,113.0359913852157,86.75807680547203,96.64190095405743,149.05173785316947,221.8592451210795,0.3241337696490103,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,99.93339365300172,115.96863591557792,89.82235565436564,93.24434944678336,149.2694104415504,200.62919556429165,0.0028860195071220823,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,104.39277369975093,129.52606026054053,87.23752670388264,86.08956846165873,151.55841975318356,211.4326498573397,0.06095400333849442,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,112.20778675815872,132.35805548661523,79.70225865820271,89.84154826526736,145.6878953756976,266.200585874956,0.8886327576509157,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,117.18805774165394,132.2588845954614,84.21510996496343,83.94990847267121,144.55923344666286,233.4213880893826,0.025673896430967267,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11,124.31388494190948,130.39855322577614,82.99507689855601,90.04722032208413,152.3422632958605,280.3181332648462,0.637346282774326,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-18,121.1184095952372,141.96806324848205,78.20013004507292,88.50176792924962,151.6835529660441,239.2781836843924,0.000435757475880919,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-25,122.39840872473101,143.2899307201599,76.97070922200972,89.8961949880237,152.6199462192252,273.0480031958108,0.6209572227998081,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
