Period,CPI,Competitor Factor,Industrial Production,GDP,Exports,Intrest Rate,Unemployment Rate,Consumer Confidence,Consumer Spending,Inflation Rate,Population,Sales,Media Transformed,competitive_media,industry_trend,spline0,spline10,spline20,spline30,spline40,spline50,spline60,spline70,spline80,spline90,spline100,spline110,spline120,spline130,spline140
2020-01-06,102.37974799118088,98.83833934097571,103.04223355423633,98.85087595442276,99.37384157511885,107.41969144171095,103.94483966578298,102.92522434057216,95.89582741123264,92.27440913514232,104.43811887121247,237.68059409185227,0.8921842334097594,22.039173799023025,440.1265121092073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,107.7187199138566,95.76508157728983,103.96670900814924,101.59574334421369,108.1666656428103,103.37558658880056,97.11182865518018,100.80689171179077,99.5566004999203,95.6661592356398,97.79872541688243,212.74207361438985,0.0001479797914991026,21.440056233738577,408.80502711427386,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-20,114.81320620633682,104.00944548338265,106.6960951176276,100.68489570192567,114.55012486534922,103.02157386598876,102.60871608223054,102.35505855168498,99.38842439865361,94.5143612329971,103.51145787225389,254.68954536503503,0.090027055939739,56.58596290648374,484.4733506577463,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,114.0371251232029,112.96492092060117,98.07854539250548,89.22183122711776,114.83630239274993,99.6057591184507,106.80101100842178,100.69454915079159,100.24695577768374,98.12610135195628,102.48375286942043,240.15375687017422,0.24358047360938082,120.5893672782678,509.3481684348901,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,114.56681689096531,112.14867771427856,98.93095490329003,95.18195740413003,117.80047313315612,103.70378543425441,103.3831145212777,107.48760861103543,107.57255633753327,105.65679743333172,93.99163213550784,270.35981021217776,0.7864339857206695,19.86118064196457,498.58907385940427,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,110.13862131816097,118.00137676158687,101.97188204224815,97.72346553926793,121.01353028717696,111.3965030998778,106.4954504694339,98.65186928384674,115.4892537170264,106.43059878714047,102.4870647203193,251.96785235951523,0.156630739372467,30.081907882325424,496.2854491095007,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,102.5543988472401,121.75741957828338,99.23177475772033,109.54581149628733,118.46230705523585,119.99197312418801,110.17571732380313,96.47365810908383,101.8370896230439,113.29732214495569,104.89622096153927,201.41174510746694,0.011510637651968005,63.83451276546807,470.1322139102859,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,104.50304812680174,121.63984832885902,98.81085184888033,111.72599359859565,113.37001183081654,124.0979814229444,119.04970767158835,95.23115076126714,91.2212020897133,110.25328288970493,110.86719590751696,226.2054790260014,1.3309251982066071e-05,65.15616688671642,495.2917764840062,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,106.32977080296321,123.56013384767586,92.90010258138375,104.72302945459454,107.11870281531299,123.43677771527882,119.18667163435886,89.56544170686527,88.74305510395871,114.36015286153167,118.03160549664767,253.65278528655486,0.7748786253542203,50.530693890799355,519.5055653227467,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,100.94386604582935,113.63231232147534,91.89688642035719,108.43851435078928,108.38358747765994,122.96672940423383,125.53723175842063,90.89159519855909,95.3458973224272,113.08275738547061,126.735248093068,213.47821850690593,0.1435416488559013,47.77491073238664,458.0615315544674,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,107.10528786566638,113.61797237043234,86.73241213537239,105.40960480104697,107.17666880260713,119.16147736136584,126.018758481224,86.40036100222505,94.57651987625216,109.77239051934615,122.29279801413686,201.09710552609317,0.007374752054295583,58.48739600830197,451.02281630141755,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,108.50691775633409,118.85783194778188,88.86602322472274,108.59984783002918,111.24373501744886,124.49119364713957,117.27823095795668,83.0885734719297,94.94331606038133,119.92649072208745,123.60187719361825,209.97939190872737,0.02456577834807147,22.898353370312954,452.81106872875364,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,114.37503806681381,113.10729917837585,79.00156123442551,118.92805056476192,115.53851537497341,130.34882434282198,119.74952904812075,75.88198795544596,90.6180761947079,126.56742319543443,128.57282788972498,267.5156368273604,0.4523827534726817,46.870713837332815,510.5819513536043,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,117.84619532509645,116.25416667117462,79.33594415125725,111.65029130683638,115.51743986580412,131.36248649104274,120.98059508621941,78.03829344444792,88.7242657941307,113.62570687357126,125.95734915849896,229.62929890957452,0.0035833345593725614,78.57098135230008,493.53205645859725,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,113.1547654020333,118.454572651716,74.27233203826304,112.68774812400389,112.2693144796309,132.30114364204053,120.78304626077382,78.47377401805913,92.20315272139912,120.13934170595039,115.46314579662692,246.7633485013917,0.6089963369298981,41.13937619317059,497.5498582380874,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,105.95102699549328,116.1353672395044,72.9673916735615,106.92567889485676,113.1992429481204,122.48032309401785,112.8106386626414,78.99675664777433,86.79803425139531,113.77183449200112,121.43597463926466,199.21807831528585,0.018726031580015227,8.046800712646442,432.17163003908723,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,104.58062544181736,113.91149569331085,75.08453588586318,108.05631732393464,110.33133631931491,118.79975521817971,117.02281465670526,77.35852433337332,85.47195162958602,114.02806728013336,118.90251801635068,218.09424848536491,0.07576948795999125,17.55113279252882,449.03242680660503,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,100.01366828545693,117.76328752155567,76.41488140766658,103.66877129580412,104.98443936136661,117.15565884449975,118.36185950008272,72.21488118298544,83.82892127365875,117.04759938598431,120.09609344421187,231.40338360166035,0.48673068682068416,34.00507968711812,477.16107387687174,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11,102.292943221733,119.30947664464748,80.94555493210798,108.5261099564793,105.36619206396503,119.47335121557686,118.54591412778376,73.80779639414988,80.3108744369085,121.59848139038694,121.34994761827951,203.77196689639322,0.016966647442879693,136.57900280899554,488.4899174071093,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-18,98.07889472896876,113.0013104273795,76.29464227080962,109.81101231558294,103.51901908603404,119.08352262143278,118.77122058534519,72.05468900930677,72.22124463272952,125.47500267345481,124.91909868008003,213.52774895217863,0.10244558785820336,71.59547122010265,468.1376827753108,19.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-25,101.30136086454202,114.11896283879817,77.34581654075333,106.95640649112974,91.87517106306292,123.09883412030695,121.60676858640784,73.87039972078642,72.75676096207228,120.35728180248196,120.21594077764843,211.96131058583777,0.0007340971937124165,14.857128904967713,442.4648296217963,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,100.01032887022485,119.12002104503223,79.37110066180263,102.85241160084031,89.04545423654955,121.0831500515545,125.55753185724973,80.38919469394506,69.52157434486624,117.79032202335459,119.10951866636455,250.7913367311587,0.9618341080962574,43.24349234882919,504.0013565880615,21.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-08,112.198067927817,122.647089933628,77.52203300648281,107.8584687264552,87.34164693829675,119.99770312488243,135.84108283918712,73.84373672508852,64.53391608733497,112.7223908937556,119.62253420089664,219.54899600168503,0.0684152976601651,202.58564870053888,517.6109211793537,22.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-15,113.38839930803454,123.70996747543634,76.15509346046562,100.5528934972639,90.44863574641214,116.72850503152262,136.53255145841493,72.60574574945268,66.9501499819486,113.78487527062059,124.79751190482627,222.99807136973806,0.010091366754107102,124.18003459874568,514.3814618099757,23.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-22,119.62969138662412,123.52333621145978,74.11497135639743,100.01606859267191,87.62012691996132,109.72787223765656,133.90880303276225,69.84999079066436,64.85137786033206,122.74508352892421,129.60127769878116,269.70095145719347,0.8841616968504526,89.57195540661144,552.0189708319924,24.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-29,120.03551798515016,129.83408071418287,73.75714560541668,97.11154071976682,92.39240195827318,105.18444199391593,130.10927344401284,70.77576236163802,56.53545640185969,129.08621911098527,122.62522763419814,234.5759553949149,0.004890265313042586,5.702471673629697,494.5889837646032,25.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-06,121.14563869181984,123.23761624125818,66.8329636618063,97.57638816171327,82.5859261780842,103.95674732054212,138.443522934234,74.35016254813495,46.60818042204006,131.89147295535767,133.21145393212802,262.00028936465515,0.7560429873268883,21.935203353073284,513.2034066672054,26.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-13,121.00033487010342,122.71859012679455,60.96190722277947,101.01292161221305,80.12640171409794,96.59114033457136,136.1321549092701,69.97431138885116,36.81548447344567,131.06283565546676,141.23930468907855,235.34120424365608,1.730142767631364e-05,27.358769494279475,487.82476719302804,27.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-20,125.42152630270652,120.36166489612944,67.08767159895001,105.80281454774712,80.71853063563461,87.6364257207648,134.64675324974024,60.16081460761761,39.811553228436814,133.59658721322648,144.35645674182052,250.09490842683755,0.3018618428776054,85.69209346979139,524.7929074341505,28.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
